,original_show,original_wikiurl,remake_show,remake_wikiurl,original_country,remake_country,original_imdburl,remake_imdburl,original_imdb-score,original_imdb-nvotes,original_imdb-nseasons,remake_imdb-score,remake_imdb-nvotes,remake_imdb-nseasons
49,Men Behaving Badly,https://en.wikipedia.org/wiki/Men_Behaving_Badly,Men Behaving Badly,https://en.wikipedia.org/wiki/Men_Behaving_Badly_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0101143/'},{'https://www.imdb.com/title/tt0115265/'},7.7,7495.0,7.0,6.3,745.0,2.0
50,Miljoenenjacht,https://en.wikipedia.org/wiki/Miljoenenjacht_(Netherlands),Deal or No Deal,https://en.wikipedia.org/wiki/Deal_or_No_Deal,Netherlands,United States,{'https://www.imdb.com/title/tt0391664/'},{'https://www.imdb.com/title/tt0493378/'},6.0,24.0,36.0,5.0,3702.0,5.0
51,Million Dollar Wheel of Fortune,https://en.wikipedia.org/wiki/Wheel_of_Fortune_(Australian_game_show),Wheel of Fortune (U.S. game show),https://en.wikipedia.org/wiki/Wheel_of_Fortune_(U.S._game_show),Australia,United States,"{'https://www.imdb.com/title/tt0080304/', 'https://www.imdb.com/title/tt1222527/'}",{'https://www.imdb.com/title/tt0072584/'},6.800000000000001,42.5,13.0,6.7,2772.0,38.0
52,Mind Your Language,https://en.wikipedia.org/wiki/Mind_Your_Language,What a Country!,https://en.wikipedia.org/wiki/What_a_Country!,United Kingdom,United States,{'https://www.imdb.com/title/tt0075537/'},{'https://www.imdb.com/title/tt0090543/'},8.7,8161.0,4.0,6.3,40.0,1.0
53,Miranda,https://en.wikipedia.org/wiki/Miranda_(TV_series),Call Me Kat,https://en.wikipedia.org/wiki/Call_Me_Kat,United Kingdom,United States,{'https://www.imdb.com/title/tt1533435/'},{'https://www.imdb.com/title/tt10985096/'},8.2,13863.0,4.0,5.0,4220.0,2.0
54,Mistresses,https://en.wikipedia.org/wiki/Mistresses_(UK_TV_series),Mistresses,https://en.wikipedia.org/wiki/Mistresses_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0969007/'},{'https://www.imdb.com/title/tt2295809/'},7.6,1883.0,3.0,7.1,12820.0,4.0
55,Mujeres Asesinas,https://en.wikipedia.org/wiki/Mujeres_Asesinas_(Argentine_TV_series),Killer Women,https://en.wikipedia.org/wiki/Killer_Women,Argentina,United States,{'https://www.imdb.com/title/tt0463404/'},{'https://www.imdb.com/title/tt2657258/'},8.1,409.0,4.0,6.1,2033.0,1.0
56,Not the Nine O'Clock News,https://en.wikipedia.org/wiki/Not_the_Nine_O%27Clock_News,Not Necessarily the News,https://en.wikipedia.org/wiki/Not_Necessarily_the_News,United Kingdom,United States,{'https://www.imdb.com/title/tt0080253/'},{'https://www.imdb.com/title/tt0085065/'},7.9,2278.0,4.0,7.5,426.0,8.0
57,On the Buses,https://en.wikipedia.org/wiki/On_the_Buses,Lotsa Luck,https://en.wikipedia.org/wiki/Lotsa_Luck,United Kingdom,United States,{'https://www.imdb.com/title/tt0063936/'},{'https://www.imdb.com/title/tt0069603/'},7.0,2025.0,7.0,6.6,183.0,1.0
58,One Foot in the Grave,https://en.wikipedia.org/wiki/One_Foot_in_the_Grave,Cosby,https://en.wikipedia.org/wiki/Cosby_(TV_series),United Kingdom,United States,"{'https://www.imdb.com/title/tt0395381/', 'https://www.imdb.com/title/tt0098882/', 'https://www.imdb.com/title/tt0268378/'}",{'https://www.imdb.com/title/tt0115144/'},7.433333333333334,1973.0,,6.3,2334.0,4.0
59,Outrageous Fortune,https://en.wikipedia.org/wiki/Outrageous_Fortune_(TV_series),Scoundrels,https://en.wikipedia.org/wiki/Scoundrels_(TV_series),New Zealand,United States,{'https://www.imdb.com/title/tt0461097/'},{'https://www.imdb.com/title/tt1595860/'},8.3,1947.0,6.0,6.4,726.0,1.0
60,Pop Idol,https://en.wikipedia.org/wiki/Pop_Idol,American Idol,https://en.wikipedia.org/wiki/American_Idol,United Kingdom,United States,{'https://www.imdb.com/title/tt0302163/'},{'https://www.imdb.com/title/tt0319931/'},3.2,208.0,2.0,4.1,21075.0,20.0
61,Porridge,https://en.wikipedia.org/wiki/Porridge_(TV_series),On the Rocks,https://en.wikipedia.org/wiki/On_the_Rocks_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0071036/'},{'https://www.imdb.com/title/tt0072553/'},8.2,5596.0,3.0,7.4,59.0,1.0
62,Prime Suspect,https://en.wikipedia.org/wiki/Prime_Suspect,Prime Suspect,https://en.wikipedia.org/wiki/Prime_Suspect_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0098898/'},{'https://www.imdb.com/title/tt1582456/'},8.4,6992.0,1.0,7.3,3650.0,1.0
63,Prisoner,https://en.wikipedia.org/wiki/Prisoner_(TV_series),Dangerous Women,https://en.wikipedia.org/wiki/Dangerous_Women_(1991_TV_series),Australia,United States,{'https://www.imdb.com/title/tt0077064/'},{'https://www.imdb.com/title/tt0101072/'},8.2,1740.0,8.0,7.4,110.0,1.0
64,Prisoners of War,https://en.wikipedia.org/wiki/Prisoners_of_War_(TV_series),Homeland,https://en.wikipedia.org/wiki/Homeland_(TV_series),Israel,United States,{'https://www.imdb.com/title/tt1676462/'},{'https://www.imdb.com/title/tt1796960/'},8.4,2207.0,2.0,8.3,321543.0,8.0
65,Queer as Folk,https://en.wikipedia.org/wiki/Queer_as_Folk_(UK_TV_series),Queer as Folk,https://en.wikipedia.org/wiki/Queer_as_Folk_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0185102/'},{'https://www.imdb.com/title/tt0262985/'},8.2,6227.0,2.0,8.4,19279.0,5.0
66,Rake (Australian TV series),https://en.wikipedia.org/wiki/Rake_(Australian_TV_series),Rake (U.S. TV series),https://en.wikipedia.org/wiki/Rake_(U.S._TV_series),Australia,United States,{'https://www.imdb.com/title/tt1587000/'},{'https://www.imdb.com/title/tt2515462/'},8.5,6847.0,5.0,6.8,3128.0,1.0
67,Ramsay's Kitchen Nightmares,https://en.wikipedia.org/wiki/Ramsay%27s_Kitchen_Nightmares,Kitchen Nightmares,https://en.wikipedia.org/wiki/Kitchen_Nightmares,United Kingdom,United States,{'https://www.imdb.com/title/tt0409608/'},{'https://www.imdb.com/title/tt0983514/'},7.6,5626.0,6.0,7.5,11667.0,7.0
68,Ramzor,https://en.wikipedia.org/wiki/Ramzor,Traffic Light,https://en.wikipedia.org/wiki/Traffic_Light_(TV_series),Israel,United States,{'https://www.imdb.com/title/tt1405737/'},{'https://www.imdb.com/title/tt1809194/'},8.4,888.0,4.0,7.3,2058.0,1.0
69,Ready Steady Cook,https://en.wikipedia.org/wiki/Ready_Steady_Cook,Ready.. Set... Cook!,https://en.wikipedia.org/wiki/Ready.._Set..._Cook!,United Kingdom,United States,"{'https://www.imdb.com/title/tt0233098/', 'https://www.imdb.com/title/tt0166422/'}",{'https://www.imdb.com/title/tt0344709/'},5.25,99.0,11.0,6.9,20.0,
70,Real Humans,https://en.wikipedia.org/wiki/Real_Humans,Humans,https://en.wikipedia.org/wiki/Humans_(TV_series),Sweden,United States,{'https://www.imdb.com/title/tt2180271/'},{'https://www.imdb.com/title/tt4122068/'},7.9,6153.0,2.0,8.0,37234.0,3.0
71,Robin's Nest,https://en.wikipedia.org/wiki/Robin%27s_Nest,Three's a Crowd,https://en.wikipedia.org/wiki/Three%27s_a_Crowd,United Kingdom,United States,{'https://www.imdb.com/title/tt0075569/'},{'https://www.imdb.com/title/tt0086816/'},6.4,701.0,6.0,5.7,764.0,1.0
72,Scrapheap Challenge,https://en.wikipedia.org/wiki/Scrapheap_Challenge,Junkyard Wars,https://en.wikipedia.org/wiki/Scrapheap_Challenge#US_version,United Kingdom,United States,{'https://www.imdb.com/title/tt0169491/'},{'https://www.imdb.com/title/tt0169491/'},7.5,764.0,11.0,7.5,764.0,11.0
73,Secret Millionaire,https://en.wikipedia.org/wiki/Secret_Millionaire,Secret Millionaire,https://en.wikipedia.org/wiki/Secret_Millionaire,United Kingdom,United States,"{'https://www.imdb.com/title/tt1235101/', 'https://www.imdb.com/title/tt0910472/'}","{'https://www.imdb.com/title/tt1235101/', 'https://www.imdb.com/title/tt0910472/'}",7.1,101.0,10.0,6.3,275.0,3.0
74,Shameless,https://en.wikipedia.org/wiki/Shameless_(UK_TV_series),Shameless,https://en.wikipedia.org/wiki/Shameless_(U.S._TV_series),United Kingdom,United States,"{'https://www.imdb.com/title/tt4393622/', 'https://www.imdb.com/title/tt0377260/'}",{'https://www.imdb.com/title/tt1586680/'},8.0,15542.0,11.0,8.5,212383.0,11.0
75,Sirens,https://en.wikipedia.org/wiki/Sirens_(2011_TV_series),Sirens,https://en.wikipedia.org/wiki/Sirens_(2014_TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt1942147/'},{'https://www.imdb.com/title/tt2484950/'},8.1,2151.0,1.0,7.8,5901.0,2.0
76,Spitting Image,https://en.wikipedia.org/wiki/Spitting_Image,D.C. Follies,https://en.wikipedia.org/wiki/D.C._Follies,United Kingdom,United States,{'https://www.imdb.com/title/tt0086807/'},{'https://www.imdb.com/title/tt0092334/'},7.4,2140.0,18.0,7.4,99.0,2.0
77,Strictly Come Dancing,https://en.wikipedia.org/wiki/Strictly_Come_Dancing,Dancing with the Stars,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0411027/'},{'https://www.imdb.com/title/tt0463398/'},6.0,1323.0,18.0,4.7,9333.0,30.0
